Date,Description,Amount
2024-07-01,ACH deposit shopify TRANSFER 070124 GABRIELLA SCARINGE ST-E0C1V9G9B6Y2,473.21
2024-07-01,ACH deposit GLOBAL - E PAYMENT 070124 GABRIELLA SCARINGE,307.02
2024-07-01,Mobile Debit Purchase 070124 SHIPBOB COM      CHICAGO   IL,-2.55
2024-07-01,Debit Card Purchase 070124 ORDER PROTECTION   LEHI    UT,-8.95
2024-07-01,Debit Card Purchase 070124 ORDER PROTECTION   LEHI    UT,-15.27
2024-07-01,Debit Card Purchase 070124 ORDER PROTECTION   LEHI    UT,-40.99
2024-07-01,Recur Mobile Debit Purchase 070124 SHOPIFY XXXXX1367 ELK GROVE VI IL,-519.19
2024-07-01,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070124 Shop Cherri LLC 28571270,-103.94
2024-07-01,ACH Withdrawal PAYPAL INST XFER 070124 GABRIELLA SCARINGE HULU,-7.99
2024-07-02,ACH deposit shopify TRANSFER 070224 GABRIELLA SCARINGE ST-L4Q7X3R4R0C6,2648.31
2024-07-02,ACH deposit PAYPAL TRANSFER 070224 CHERRI 1035375396015,306.58
2024-07-02,ACH deposit SHOPPAYINST AFRM PAYMENTS 070224 Cherri SMLL9DPDGQMTUFK,185.27
2024-07-02,ACH deposit AFTERPAY 1217 EDI PAYMNT 070224 Gabriella Scaringe vsGjYdxXXXigMbK,176.00
2024-07-02,ACH deposit TikTok Inc PAYMENT 070224 Shop Cherri LLC 000000XXXXX1133,127.27
2024-07-02,ACH deposit SHOPPAYINST AFRM PAYMENTS 070224 Cherri C4LG3JOXDWUOO8Z,60.43
2024-07-02,ACH deposit TikTok Inc PAYMENT 070224 Shop Cherri LLC 000000XXXXX7787,56.67
2024-07-02,ACH deposit SHOPPAYINST AFRM PAYMENTS 070224 Cherri HH086DYIQ56VBJT,54.34
2024-07-02,ACH deposit TikTok Inc PAYMENT 070224 Shop Cherri LLC 000000XXXXX7201,26.16
2024-07-02,Debit Card Purchase 070224 ORDER PROTECTION   LEHI   UT,-5.99
2024-07-02,Debit Card Purchase 070224 ORDER PROTECTION   LEHI   UT,-13.77
2024-07-02,Debit Card Purchase 070224 ORDER PROTECTION   LEHI   UT,-21.94
2024-07-02,Recur Debit Card Purchase 070224 MANHATTAN MINI STORAGE 573 4490091 NY,-505.99
2024-07-02,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070224 Shop Cherri LLC 28595509,-340.97
2024-07-02,ACH Withdrawal UPSBILLCTR 0000F5W411,-56.07
2024-07-03,ACH deposit shopify TRANSFER 070324 GABRIELLA SCARINGE ST-X4F1S9E9O5B6,193.98
2024-07-03,ACH deposit TikTok Inc PAYMENT 070324 Shop Cherri LLC 000000XXXXX8538,77.05
2024-07-03,Debit Card Purchase 070324 ORDER PROTECTION   LEHI   UT,-5.90
2024-07-03,ACH Withdrawal PAYPAL RETRY PYMT 070324 CHERRI METAPLATFOR,-744.07
2024-07-03,ACH Withdrawal PAYPAL INST XFER 070324 CHERRI ALIPAYUSINC,-154.75
2024-07-03,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070324 Shop Cherri LLC 28622956,-127.21
2024-07-03,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070324 Shop Cherri LLC 28643816,-111.42
2024-07-03,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070324 Shop Cherri LLC 28664679,-52.41
2024-07-05,ACH deposit shopify TRANSFER 070524 GABRIELLA SCARINGE ST-M5V2W9N7D8R9,284.63
2024-07-05,ACH deposit TikTok Inc PAYMENT 070524 Shop Cherri LLC 000000XXXXX4518,182.59
2024-07-05,ACH deposit TikTok Inc PAYMENT 070524 Shop Cherri LLC 000000XXXXX9197,98.92
2024-07-05,ACH deposit AFTERPAY 1217 EDI PAYMNT 070524 Gabriella Scaringe sRSoPKt95T1T2Ca,85.19
2024-07-05,Debit Card Purchase 070524 ORDER PROTECTION   LEHI   UT,-5.66
2024-07-05,Debit Card Purchase 070524 ORDER PROTECTION   LEHI   UT,-6.35
2024-07-05,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070524 Shop Cherri LLC 28703907,-59.52
2024-07-05,IAT ACH Withdrawal CEDCOSS TECHNOLO IAT PAYPAL 070524 CHERRI 1035421044533,-49.00
2024-07-05,ACH Withdrawal GOOGLE APPS_COMME 070524 Gabriella Scaringe US0041IRW2,-31.35
2024-07-05,ACH Withdrawal PAYPAL RETRY PYMT 070524 GABRIELLA SCARINGE UBER,-9.99
2024-07-08,ACH deposit shopify TRANSFER 070824 GABRIELLA SCARINGE ST-B9Z0C6F7L5A3,64.90
2024-07-08,ACH deposit SHOPPAYINST AFRM PAYMENTS 070824 Cherri N9BWTRARII2XT64,62.50
2024-07-08,ACH deposit TikTok Inc PAYMENT 070824 Shop Cherri LLC 000000XXXXX8080,27.70
2024-07-08,Debit Card Purchase 070824 ORDER PROTECTION   LEHI   UT,-2.58
2024-07-08,Debit Card Purchase 070824 ORDER PROTECTION   LEHI   UT,-10.22
2024-07-08,Debit Card Purchase 070824 ORDER PROTECTION   LEHI   UT,-10.65
2024-07-08,ACH Withdrawal STELLAR FASHION SALE 070824 GABRIELLA SCARINGE,-719.05
2024-07-08,ACH Withdrawal CAPITAL ONE MOBILE PMT 070824 GABRIELLA SCARINGE 3XT54NG7RJPSNH6,-349.00
2024-07-08,ACH Withdrawal STELLAR FASHION SALE 070824 GABRIELLA SCARINGE,-245.00
2024-07-08,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070824 Shop Cherri LLC 28749229,-35.20
2024-07-09,ACH deposit shopify TRANSFER 070924 GABRIELLA SCARINGE ST-R6Q4G5D4F4N3,940.97
2024-07-09,ACH deposit TikTok Inc PAYMENT 070924 Shop Cherri LLC 000000XXXXX2402,435.29
2024-07-09,ACH deposit TikTok Inc PAYMENT 070924 Shop Cherri LLC 000000XXXXX9452,362.10
2024-07-09,ACH deposit PAYPAL TRANSFER 070924 CHERRI 1035524273980,288.59
2024-07-09,ACH deposit SHOPPAYINST AFRM PAYMENTS 070924 Cherri Z70PM8FUWBGXI64,81.14
2024-07-09,ACH deposit SHOPPAYINST AFRM PAYMENTS 070924 Cherri QTNAG8V1IRU77XA,60.43
2024-07-09,Debit Card Purchase 070924 ORDER PROTECTION   LEHI   UT,-11.13
2024-07-09,ACH Withdrawal PAYPAL BUS MC CARD PYMT 070924 Scaringe Gabriella 043000XXXXX7060,-799.00
2024-07-09,ACH Withdrawal STELLAR FASHION SALE 070924 GABRIELLA SCARINGE,-616.00
2024-07-09,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070924 Shop Cherri LLC 28797038,-65.44
2024-07-09,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 070924 Shop Cherri LLC 28776287,-33.25
