Date,Description,Amount
2025-05-14,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 051425 Shop Cherri LLC 38454553,-133.36
2025-05-14,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 051425 Shop Cherri LLC 38487790,-100.01
2025-05-14,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 051425 Shop Cherri LLC 38458498,-78.45
2025-05-14,ACH Withdrawal PAYPAL INST XFER 051425 GABRIELLA SCARINGE UBER,-41.84
2025-05-14,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 051425 GABRIELLA SCARINGE M121026978232,-7.90
2025-05-15,ACH deposit SHOPIFY TRANSFER 051525 GABRIELLA SCARINGE CHERRI,256.29
2025-05-15,ACH deposit AFTERPAY 1217 EDI PAYMNT 051525 Gabriella Scaringe oVS6qcNPoJfUqQM,170.29
2025-05-15,ACH deposit SHOPPAYINST AFRM PAYMENTS 051525 Cherri FO6KMGD71UWOPOX,130.50
2025-05-15,ACH deposit TikTok Inc PAYMENT 051525 Shop Cherri LLC 000000XXXXX4238,78.96
2025-05-15,ACH deposit SHOPIFY TRANSFER 051525 GABRIELLA SCARINGE ST-E7O3G3I6I2F8,78.93
2025-05-15,ACH Withdrawal PAYPAL INST XFER 051525 CHERRI METAPLATFOR,-2000.00
2025-05-15,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 051525 Shop Cherri LLC 38512378,-73.25
2025-05-15,ACH Withdrawal PAYPAL INST XFER 051525 CHERRI  CANVA,-55.00
2025-05-15,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 051525 Shop Cherri LLC 38515294,-43.09
2025-05-15,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 051525 GABRIELLA SCARINGE M121028754689,-18.62
2025-05-15,ACH Withdrawal PAYPAL INST XFER 051525 CHERRI ELASTICBYTH ELA,-8.97
2025-05-16,ACH deposit shopify TRANSFER 051625 GABRIELLA SCARINGE ST-P8Y8M6L4F0G0,1675.90
2025-05-16,ACH deposit SHOPIFY TRANSFER 051625 GABRIELLA SCARINGE CHERRI,92.42
2025-05-16,ACH deposit TikTok Inc PAYMENT 051625 Shop Cherri LLC 000000XXXXX3836,36.06
2025-05-16,Mobile Debit Purchase 051625 SHIPBOB COM      CHICAGO  IL,-2.42
2025-05-16,Mobile Debit Purchase 051625 PAYPAL USPS CNS   8002758777 DC,-166.50
2025-05-16,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 051625 Shop Cherri LLC 38551563,-310.76
2025-05-16,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 051625 Shop Cherri LLC 38554396,-182.80
